module,boundary_status,migration_risk,imports,imported_by,top_level_imports,deferred_imports,test_dependents,runtime_dependents,third_party_imports,migration_preconditions
edgar_chains,BOUNDARY_VIOLATION,MEDIUM,chain_reconstruction; models,chain_study_chains; run_edgar_smoke_test; semantic_pipeline; test_edgar_chains; test_semantic_pipeline,models; chain_reconstruction,,test_edgar_chains; test_semantic_pipeline,chain_study_chains; run_edgar_smoke_test; semantic_pipeline,,embedded frozen states externalized and hashed first; hand-extracted states moved to data/ground_truth/frozen/ with provenance; ingestion fixture code retained in ingestion/edgar/ layer
evaluate_parser,CLEAN,LOW,,,,,,,pandas,
evaluation_layers,CLEAN,LOW,,test_evaluation_layers,,,test_evaluation_layers,,,
executor,CLEAN,HIGH,models,analyze_held_out_mutations; build_step23r_audit; chain_reconstruction; run_operational_preflight; semantic_pipeline; semantic_pipeline_v2; test_executor; test_persistence_plan; test_semantic_mapper_v01,models,,test_executor; test_persistence_plan; test_semantic_mapper_v01,analyze_held_out_mutations; build_step23r_audit; chain_reconstruction; run_operational_preflight; semantic_pipeline; semantic_pipeline_v2,,
freeze_step_18,CLEAN,LOW,,,,,,,,
freeze_study,CLEAN,LOW,,,,,,,,
generate_defect_safety_record,CLEAN,LOW,,,,,,,,
generate_step22_final_report,CLEAN,LOW,,,,,,,,
generate_step23_report,CLEAN,LOW,,test_step23_audit,,,test_step23_audit,,,
generate_step23r_deliverables,CLEAN,LOW,,,,,,,,
generate_step_19b_report,CLEAN,LOW,,test_held_out_study,,,test_held_out_study,,scipy,
genre_adapters,CLEAN,MEDIUM,amendment_parser; commitment_extractor; commitment_registry; models; pattern_classifier; semantic_mapper; semantic_resolver_v2,build_step23_audit; build_step23r_audit; run_v2_study; semantic_pipeline_v2; test_genre_adapters,amendment_parser; commitment_extractor; commitment_registry; models; pattern_classifier; semantic_mapper; semantic_resolver_v2,,test_genre_adapters,build_step23_audit; build_step23r_audit; run_v2_study; semantic_pipeline_v2,,
gold_schema,CLEAN,MEDIUM,,create_held_out_gold; run_held_out_study; test_gold_schema; test_held_out_study,,,test_gold_schema; test_held_out_study,create_held_out_gold; run_held_out_study,,
gt_extractor,CLEAN,MEDIUM,commitment_extractor,classify_gold_scope; run_chain_study_v2; run_held_out_study; run_v2_study; test_chain_study_v2; test_commitment_extractor,commitment_extractor,,test_chain_study_v2; test_commitment_extractor,classify_gold_scope; run_chain_study_v2; run_held_out_study; run_v2_study,,
lock_held_out_run,CLEAN,LOW,,,,,,,,
model_assisted_candidates,CLEAN,LOW,agreement_context; commitment_registry; models; semantic_mapper; semantic_resolver_v2,test_model_assisted_candidates,commitment_registry; models; semantic_mapper; semantic_resolver_v2,agreement_context,test_model_assisted_candidates,,,
models,CLEAN,HIGH,,agreement_context; analyze_held_out_mutations; build_step23_audit; build_step23r_audit; build_unresolved_corpus; chain_reconstruction; commitment_extractor; commitment_registry; edgar_chains; executor; genre_adapters; model_assisted_candidates; persistence; run_operational_preflight; semantic_gold; semantic_mapper; semantic_pipeline; semantic_pipeline_v2; semantic_resolver_v2; synthetic_chains; test_agreement_context; test_chain_reconstruction; test_chain_study; test_chain_study_v2; test_commitment_registry; test_edgar_chains; test_executor; test_false_authoritative_promotion; test_genre_adapters; test_held_out_study; test_model_assisted_candidates; test_operational_preflight; test_parser_v03; test_persistence_plan; test_semantic_mapper; test_semantic_mapper_v01; test_semantic_pipeline; test_semantic_resolver_v2; test_step22f_staged_interpreter; test_step23_audit; test_step_22b_incorrect_mutation_fix,,,test_agreement_context; test_chain_reconstruction; test_chain_study; test_chain_study_v2; test_commitment_registry; test_edgar_chains; test_executor; test_false_authoritative_promotion; test_genre_adapters; test_held_out_study; test_model_assisted_candidates; test_operational_preflight; test_parser_v03; test_persistence_plan; test_semantic_mapper; test_semantic_mapper_v01; test_semantic_pipeline; test_semantic_resolver_v2; test_step22f_staged_interpreter; test_step23_audit; test_step_22b_incorrect_mutation_fix,agreement_context; analyze_held_out_mutations; build_step23_audit; build_step23r_audit; build_unresolved_corpus; chain_reconstruction; commitment_extractor; commitment_registry; edgar_chains; executor; genre_adapters; model_assisted_candidates; persistence; run_operational_preflight; semantic_gold; semantic_mapper; semantic_pipeline; semantic_pipeline_v2; semantic_resolver_v2; synthetic_chains,pydantic,
pattern_classifier,CLEAN,HIGH,,build_unresolved_corpus; chain_study_chains; genre_adapters; run_chain_study_v2; run_held_out_study; run_v2_study; semantic_pipeline_v2; test_genre_adapters; test_pattern_classifier,,,test_genre_adapters; test_pattern_classifier,build_unresolved_corpus; chain_study_chains; genre_adapters; run_chain_study_v2; run_held_out_study; run_v2_study; semantic_pipeline_v2,,
persistence,CLEAN,MEDIUM,models,chain_reconstruction; run_operational_preflight; run_step_17b; test_operational_preflight; test_persistence_plan,models,,test_operational_preflight; test_persistence_plan,chain_reconstruction; run_operational_preflight; run_step_17b,psycopg,
prepare_human_gold_handoff,CLEAN,LOW,,,,,,,,
produce_census_tables,CLEAN,LOW,amendment_parser; classify_development_corpus,,amendment_parser; classify_development_corpus,,,,,
record_run,CLEAN,LOW,,,,,,,,
run_chain_study,CLEAN,MEDIUM,chain_reconstruction; chain_study_chains; semantic_pipeline,run_chain_study_v2; run_held_out_study; run_v2_study; test_chain_study; test_chain_study_v2,chain_reconstruction; chain_study_chains; semantic_pipeline,,test_chain_study; test_chain_study_v2,run_chain_study_v2; run_held_out_study; run_v2_study,,
run_chain_study_v2,CLEAN,HIGH,chain_reconstruction; chain_study_chains; commitment_extractor; gt_extractor; pattern_classifier; run_chain_study; s0_extractor; semantic_pipeline,build_step23_audit; build_step23r_audit; build_unresolved_corpus; diagnose_17b_defects; run_held_out_study; run_operational_preflight; run_step_17b; run_v2_study; test_chain_study_v2,chain_reconstruction; chain_study_chains; commitment_extractor; gt_extractor; run_chain_study; s0_extractor; semantic_pipeline,pattern_classifier,test_chain_study_v2,build_step23_audit; build_step23r_audit; build_unresolved_corpus; diagnose_17b_defects; run_held_out_study; run_operational_preflight; run_step_17b; run_v2_study,,
run_edgar_smoke_test,CLEAN,LOW,chain_reconstruction; edgar_chains,,chain_reconstruction; edgar_chains,,,,,
run_held_out_study,CLEAN,MEDIUM,chain_reconstruction; commitment_extractor; gold_schema; gt_extractor; pattern_classifier; run_chain_study; run_chain_study_v2; s0_extractor; semantic_pipeline,analyze_held_out_mutations; build_step23_audit; build_step23r_audit; build_unresolved_corpus; run_v2_study; test_held_out_study,chain_reconstruction; commitment_extractor; gold_schema; gt_extractor; pattern_classifier; run_chain_study; run_chain_study_v2; s0_extractor; semantic_pipeline,,test_held_out_study,analyze_held_out_mutations; build_step23_audit; build_step23r_audit; build_unresolved_corpus; run_v2_study,,
run_operational_preflight,CLEAN,LOW,chain_reconstruction; chain_study_chains; commitment_extractor; discovery_validation; executor; models; persistence; run_chain_study_v2; semantic_pipeline,test_operational_preflight,chain_reconstruction; commitment_extractor; discovery_validation; executor; persistence; run_chain_study_v2; semantic_pipeline,chain_study_chains; executor; persistence; models,test_operational_preflight,,psycopg,
run_smoke_test,CLEAN,LOW,chain_reconstruction; synthetic_chains,,chain_reconstruction; synthetic_chains,,,,,
run_step_17b,CLEAN,LOW,persistence; run_chain_study_v2; semantic_pipeline,,persistence; run_chain_study_v2; semantic_pipeline,,,,psycopg,
run_v2_study,CLEAN,LOW,chain_reconstruction; commitment_extractor; genre_adapters; gt_extractor; pattern_classifier; run_chain_study; run_chain_study_v2; run_held_out_study; s0_extractor; semantic_pipeline_v2,,chain_reconstruction; commitment_extractor; genre_adapters; gt_extractor; pattern_classifier; run_chain_study; run_chain_study_v2; run_held_out_study; s0_extractor; semantic_pipeline_v2,run_chain_study_v2,,,,
s0_extractor,CLEAN,MEDIUM,commitment_extractor,classify_gold_scope; run_chain_study_v2; run_held_out_study; run_v2_study; test_chain_study_v2; test_commitment_extractor; test_v02_regression,commitment_extractor,,test_chain_study_v2; test_commitment_extractor; test_v02_regression,classify_gold_scope; run_chain_study_v2; run_held_out_study; run_v2_study,,
sec_ingest,CLEAN,LOW,,,,,,,httpx; bs4,
semantic_gold,CLEAN,LOW,models; semantic_mapper,test_semantic_mapper_v01,models; semantic_mapper,,test_semantic_mapper_v01,,,
semantic_mapper,BOUNDARY_VIOLATION,HIGH,models,analyze_held_out_mutations; build_unresolved_corpus; genre_adapters; model_assisted_candidates; semantic_gold; semantic_pipeline; semantic_pipeline_v2; semantic_resolver_v2; test_model_assisted_candidates; test_semantic_mapper; test_semantic_mapper_v01,models,,test_model_assisted_candidates; test_semantic_mapper; test_semantic_mapper_v01,analyze_held_out_mutations; build_unresolved_corpus; genre_adapters; model_assisted_candidates; semantic_gold; semantic_pipeline; semantic_pipeline_v2; semantic_resolver_v2,,commitment identity resolution moved to commitments/ layer; transformation mapping retained in transformations/ layer
semantic_pipeline,BOUNDARY_VIOLATION,HIGH,amendment_parser; chain_reconstruction; edgar_chains; executor; models; semantic_mapper,analyze_held_out_mutations; diagnose_17b_defects; run_chain_study; run_chain_study_v2; run_held_out_study; run_operational_preflight; run_step_17b; test_chain_study; test_chain_study_v2; test_semantic_pipeline,amendment_parser; chain_reconstruction; executor; models; semantic_mapper,edgar_chains,test_chain_study; test_chain_study_v2; test_semantic_pipeline,analyze_held_out_mutations; diagnose_17b_defects; run_chain_study; run_chain_study_v2; run_held_out_study; run_operational_preflight; run_step_17b,,legacy consumers migrated to compatibility facade or retired; v2 pipeline confirmed as functional replacement
semantic_pipeline_v2,BOUNDARY_VIOLATION,MEDIUM,amendment_parser; chain_reconstruction; executor; genre_adapters; models; pattern_classifier; semantic_mapper; semantic_resolver_v2,run_v2_study; test_false_authoritative_promotion; test_step_22b_incorrect_mutation_fix,amendment_parser; chain_reconstruction; executor; genre_adapters; models; pattern_classifier; semantic_mapper; semantic_resolver_v2,,test_false_authoritative_promotion; test_step_22b_incorrect_mutation_fix,run_v2_study,,authority determination extracted to authority/ layer first; pipeline orchestration retained in pipeline/ layer
semantic_resolver_v2,BOUNDARY_VIOLATION,MEDIUM,commitment_registry; models; semantic_mapper,build_step23_audit; build_step23r_audit; genre_adapters; model_assisted_candidates; semantic_pipeline_v2; test_semantic_resolver_v2; test_step22f_staged_interpreter,commitment_registry; models; semantic_mapper,,test_semantic_resolver_v2; test_step22f_staged_interpreter,build_step23_audit; build_step23r_audit; genre_adapters; model_assisted_candidates; semantic_pipeline_v2,,new identity / evidence / transformation interfaces exist first; value re-extraction moved to evidence/ layer
synthetic_chains,CLEAN,LOW,chain_reconstruction; models,run_smoke_test; test_chain_reconstruction,models; chain_reconstruction,,test_chain_reconstruction,run_smoke_test,,
test_agreement_context,CLEAN,LOW,agreement_context; commitment_registry; models,,agreement_context; commitment_registry; models,,,,,
test_build_failure_matrix,CLEAN,LOW,build_failure_matrix,,build_failure_matrix,,,,pytest,
test_build_release_package,CLEAN,LOW,build_release_package,,build_release_package,,,,pytest,
test_build_unresolved_corpus,CLEAN,LOW,build_unresolved_corpus,,build_unresolved_corpus,build_unresolved_corpus,,,pytest,
test_chain_reconstruction,CLEAN,LOW,chain_reconstruction; models; synthetic_chains,,chain_reconstruction; models; synthetic_chains,models,,,,
test_chain_study,CLEAN,LOW,acquire_chain_study; chain_study_chains; models; run_chain_study; semantic_pipeline,,chain_study_chains; run_chain_study; semantic_pipeline,run_chain_study; acquire_chain_study; models,,,pytest,
test_chain_study_v2,CLEAN,LOW,chain_reconstruction; commitment_extractor; gt_extractor; models; run_chain_study; run_chain_study_v2; s0_extractor; semantic_pipeline,,chain_reconstruction; commitment_extractor; run_chain_study_v2; semantic_pipeline,s0_extractor; gt_extractor; models; run_chain_study,,,pytest,
test_commitment_extractor,CLEAN,LOW,commitment_extractor; gt_extractor; s0_extractor,,commitment_extractor; gt_extractor; s0_extractor,commitment_extractor,,,pytest,
test_commitment_registry,CLEAN,LOW,commitment_registry; models,,commitment_registry; models,,,,pytest,
test_edgar_chains,CLEAN,LOW,chain_reconstruction; edgar_chains; models,,chain_reconstruction; edgar_chains; models,,,,,
test_evaluation_layers,CLEAN,LOW,evaluation_layers,,evaluation_layers,,,,pytest,
test_executor,CLEAN,LOW,executor; models,,models; executor,,,,,
test_false_authoritative_promotion,CLEAN,LOW,models; semantic_pipeline_v2,,models; semantic_pipeline_v2,,,,pytest,
test_genre_adapters,CLEAN,LOW,genre_adapters; models; pattern_classifier,,genre_adapters; models; pattern_classifier,genre_adapters,,,pytest,
test_gold_schema,CLEAN,LOW,gold_schema,,gold_schema,,,,,
test_held_out_study,CLEAN,LOW,acquire_held_out_study; create_held_out_gold; generate_step_19b_report; gold_schema; models; run_held_out_study,,gold_schema,create_held_out_gold; run_held_out_study; acquire_held_out_study; models; generate_step_19b_report,,,pytest,
test_model_assisted_candidates,CLEAN,LOW,model_assisted_candidates; models; semantic_mapper,,model_assisted_candidates; models; semantic_mapper,,,,pytest,
test_operational_preflight,CLEAN,LOW,models; persistence; run_operational_preflight,,,persistence; models; run_operational_preflight,,,pytest,
test_parser_v03,CLEAN,LOW,amendment_parser; models,,amendment_parser,models,,,pytest,
test_parser_v04_regression,CLEAN,LOW,amendment_parser,,amendment_parser,,,,pytest,
test_pattern_classifier,CLEAN,LOW,pattern_classifier,,pattern_classifier,,,,pytest,
test_persistence_integration,CLEAN,LOW,,,,,,,pytest,
test_persistence_plan,CLEAN,LOW,executor; models; persistence,,models; executor; persistence,,,,,
test_schema,CLEAN,LOW,,,,,,,,
test_semantic_mapper,CLEAN,LOW,models; semantic_mapper,,models; semantic_mapper,,,,,
test_semantic_mapper_v01,CLEAN,LOW,executor; models; semantic_gold; semantic_mapper,,models; semantic_mapper; semantic_gold,executor; models,,,pytest,
test_semantic_pipeline,CLEAN,LOW,edgar_chains; models; semantic_pipeline,,edgar_chains; models; semantic_pipeline,,,,,
test_semantic_regression,CLEAN,LOW,amendment_parser; classify_development_corpus,,amendment_parser,amendment_parser; classify_development_corpus,,,pytest,
test_semantic_resolver_v2,CLEAN,LOW,models; semantic_resolver_v2,,models; semantic_resolver_v2,,,,pytest,
test_step22_taxonomy,CLEAN,LOW,build_step22_taxonomy,,build_step22_taxonomy,,,,,
test_step22f_staged_interpreter,CLEAN,LOW,models; semantic_resolver_v2,,semantic_resolver_v2; models,,,,,
test_step23_audit,CLEAN,LOW,build_step23_audit; generate_step23_report; models,,build_step23_audit; generate_step23_report; models,,,,pytest,
test_step23r_audit,CLEAN,LOW,build_step23r_audit,,build_step23r_audit,,,,pytest,
test_step_22b_incorrect_mutation_fix,CLEAN,LOW,chain_reconstruction; models; semantic_pipeline_v2,,chain_reconstruction; models; semantic_pipeline_v2,,,,,
test_v02_change_spec,CLEAN,LOW,build_failure_matrix; v02_change_spec,,build_failure_matrix; v02_change_spec,,,,pytest,
test_v02_regression,CLEAN,LOW,commitment_extractor; discovery_validation; s0_extractor,,commitment_extractor; discovery_validation; s0_extractor,,,,pytest,
v02_change_spec,CLEAN,LOW,,test_v02_change_spec,,,test_v02_change_spec,,,
